VARIETY,COMMODITY,Unit,Weight,Code,Nairobi,Busia,Nakuru,Average,Max.,Min.,Stdev.,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
CEREALS,Dry Maize,Bag,90.0,20,3000.0,2340.0,2500.0,2613.3333333333335,3000,2340,344.2867022313437,,,,
,Green Maize,Ext. Bag,115.0,19,1800.0,2500.0,1500.0,1933.3333333333333,2500,1500,513.1601439446881,,,,
,Finger Millet,Bag,90.0,41,7600.0,5400.0,5400.0,6133.333333333333,7600,5400,1270.1705922171777,,,,
,Sorghum,Bag,90.0,42,4500.0,2880.0,4500.0,3960.0,4500,2880,935.3074360871938,,,,
,Wheat,Bag,90.0,48,,,,,0,0,,,,,
LEGUMES,Beans Canadian,Bag,90.0,4,8000.0,,8100.0,8050.0,8100,8000,70.71067811865476,,,,
 ,Beans Rosecoco,Bag,90.0,5,8600.0,10800.0,9000.0,9466.666666666666,10800,8600,1171.8930554164672,,,,
,Beans Mwitemania,Bag,90.0,7,7200.0,,8100.0,7650.0,8100,7200,636.3961030678928,,,,
,Mwezi Moja,Bag,90.0,6,6500.0,,7200.0,6850.0,7200,6500,494.9747468305833,,,,
,Dolichos (Njahi),Bag,90.0,35,10500.0,,7000.0,8750.0,10500,7000,2474.8737341529163,,,,
,Green Gram,Bag,90.0,46,10400.0,9000.0,7200.0,8866.666666666666,10400,7200,1604.1612554021272,,,,
,Cowpeas,Bag,90.0,45,7200.0,9000.0,7200.0,7800.0,9000,7200,1039.2304845413264,,,,
,Fresh Peas,Bag,51.0,27,3000.0,3825.0,2200.0,3008.3333333333335,3825,2200,812.5320506499014,,,,
,Groundnuts,Bag,110.0,44,13200.0,19800.0,11000.0,14666.666666666666,19800,11000,4579.66519882549,,,,
ROOTS & TUBERS,Red Irish Potatoes,Bag,50.0,29,,5200.0,,5200.0,5200,5200,,,,,
,White Irish Potatoes,Bag,50.0,30,3000.0,,2800.0,2900.0,3000,2800,141.4213562373095,,,,
,Cassava - Fresh,Bag,99.0,43,2450.0,,,2450.0,2450,2450,,,,, 
,Sweet Potatoes,Bag,98.0,31,5400.0,2800.0,3000.0,3733.3333333333335,5400,2800,1446.8356276140466,,,,
HORTICULTURE,Cabbages,Ext. Bag,126.0,9,900.0,1890.0,700.0,1163.3333333333333,1890,700,637.207449213624,,,,
,Cooking Bananas,Med. Bunch,22.0,2,700.0,600.0,600.0,633.3333333333334,700,600,57.735026918962575,,,,
,Ripe Bananas,Med. Bunch,14.0,3,800.0,700.0,,750.0,800,700,,,,,
,Carrots,Ext. Bag,138.0,13,2800.0,6900.0,3000.0,4233.333333333333,6900,2800,2311.5651263447744,,,,
,Tomatoes,Lg. Box,64.0,32,3600.0,3000.0,1500.0,2700.0,3600,1500,1081.6653826391969,,,,
,Onions Dry,net,13.0,22,1400.0,650.0,650.0,900.0,1400,650,433.0127018922193,,,,
,Spring Onions,Bag,142.0,23,5400.0,,3100.0,4250.0,5400,3100,1626.3455967290593,,,,
,Chillies,Bag,38.0,11,2400.0,1900.0,2000.0,2100.0,2400,1900,264.5751311064591,,,,
,Cucumber,Bag,50.0,14,2400.0,5200.0,,3800.0,5200,2400,,,,,
,Capsicums,Bag,50.0,12,2500.0,2500.0,200.0,1733.3333333333333,2500,200,1327.9056191361392,,,,
,Brinjals,Bag,44.0,8,1600.0,1200.0,1800.0,1533.3333333333333,1800,1200,305.5050463303896,,,,
 ,Cauliflower,crate,39.0,10,2600.0,,,2600.0,2600,2600,,,,,
,Lettuce,Bag,51.0,17,1300.0,,,1300.0,1300,1300,,,,,
,Passion Fruits,Bag,57.0,25,4000.0,5700.0,4500.0,4733.333333333333,5700,4000,873.6894948054119,,,,
,Oranges,Bag,93.0,24,4400.0,2800.0,5000.0,4066.6666666666665,5000,2800,1137.2481406154648,,,,
,Lemons,Bag,95.0,16,4200.0,,3000.0,3600.0,4200,3000,848.5281374238571,,,,
,Mangoes Local,Bag,126.0,21,1000.0,1500.0,2250.0,1583.3333333333333,2250,1000,629.152869605896,,,,
,Mangoes Ngowe,Sm. Basket,25.0,36,,,400.0,400.0,400,400,,,,,
,Limes,net,13.0,18,3100.0,,,3100.0,3100,3100,,,,,
,Pineapples,Dozen,13.0,28,1100.0,1080.0,1200.0,1126.6666666666667,1200,1080,64.29100507328637,,,,
,Pawpaw,Lg. Box,54.0,26,,,3800.0,3800.0,3800,3800,,,,,
,Avocado,Bag,90.0,1,2600.0,,2500.0,2550.0,2600,2500,70.71067811865476,,,,
,Kales,Bag,50.0,15,1100.0,,700.0,900.0,1100,700,282.842712474619,,,,
OTHERS,Eggs,Tray,,47,300.0,,300.0,300.0,300,300,0.0,,,,
